peak_n,peak_n1
53.912482892336065,56.64083183132362
56.64083183132362,60.514716314982245
60.514716314982245,63.68454862945168
63.68454862945168,61.43186109273105
61.43186109273105,59.688894118976876
59.688894118976876,58.18643745567716
58.18643745567716,59.02077530929975
59.02077530929975,56.96707782644576
56.96707782644576,53.32984796504961
53.32984796504961,54.65668812295335
54.65668812295335,51.19274798174847
51.19274798174847,54.144226613121525
54.144226613121525,56.65935823913741
56.65935823913741,56.14463795596071
56.14463795596071,61.04150866521069
61.04150866521069,62.72080596394727
62.72080596394727,59.972363051737695
59.972363051737695,55.69764039717243
55.69764039717243,57.290740503608966
57.290740503608966,54.63243495003398
54.63243495003398,55.725304622909405
55.725304622909405,57.21474065943501
57.21474065943501,54.6554397275482
54.6554397275482,58.09106494935217
58.09106494935217,58.672080123416784
58.672080123416784,60.0305257873576
60.0305257873576,58.57003482053616
58.57003482053616,55.9255341705191
55.9255341705191,56.34377271208257
56.34377271208257,60.36522570825553
60.36522570825553,61.98146357599004
61.98146357599004,56.11487660280301
56.11487660280301,54.41317962260552
54.41317962260552,56.080977738281945
56.080977738281945,55.82309185550078
55.82309185550078,57.41395995291554
57.41395995291554,56.81533243200563
56.81533243200563,57.83053105218533
57.83053105218533,58.83231478472066
58.83231478472066,59.69249302331319
59.69249302331319,58.820879091377385
58.820879091377385,61.90587531355625
61.90587531355625,57.55544976672428
57.55544976672428,59.71629509632525
59.71629509632525,58.90967948290527
58.90967948290527,59.54209006776263
59.54209006776263,58.19352994084847
58.19352994084847,58.29111937310675
58.29111937310675,59.37896684366513
59.37896684366513,54.256050202630185
54.256050202630185,57.34549383210678
57.34549383210678,54.75655492548523
54.75655492548523,56.017316693444556
56.017316693444556,56.10648985088496
56.10648985088496,57.71456784748059
57.71456784748059,56.15679777601862
56.15679777601862,56.62777379656006
56.62777379656006,56.243928488878474
56.243928488878474,58.24743801540008
58.24743801540008,57.35432943495095
57.35432943495095,57.57111083208701
57.57111083208701,58.11908897190552
58.11908897190552,57.55834447983283
57.55834447983283,59.605429158521446
59.605429158521446,60.89796262803684
60.89796262803684,59.65661802884242
59.65661802884242,57.202741103723255
57.202741103723255,57.465637684254624
57.465637684254624,54.13743424017896
54.13743424017896,56.969192585238474
56.969192585238474,59.569284691910205
59.569284691910205,58.65711364749765
58.65711364749765,58.846728033850425
58.846728033850425,57.024873913402615
57.024873913402615,61.315210371091375
61.315210371091375,61.0462253985347
61.0462253985347,61.02110017566608
61.02110017566608,63.871074228576305
63.871074228576305,62.11213485499148
62.11213485499148,61.6535374032459
61.6535374032459,62.726765426398416
62.726765426398416,62.275791892691196
62.275791892691196,59.85769162662683
59.85769162662683,59.399563723343164
59.399563723343164,60.29513509686748
60.29513509686748,54.98699704085322
